city,subregion,parking,population,lat,lon,region,cumulative_population,cumulative_parking
New York,New York,11.1,8467513,40.7127281,-74.0060152,us,8467513,11.1
Los Angeles,California,109.8,3849297,34.0536909,-118.242766,us,12316810,120.9
Chicago,Illinois,49.8,2696555,41.8755616,-87.6244212,us,15013365,170.7
Houston,Texas,167.2,2288250,29.7589382,-95.3676974,us,17301615,337.9
Phoenix,Arizona,166.3,1624569,33.4484367,-112.074141,us,18926184,504.2
Philadelphia,Pennsylvania,97.2,1576251,39.9527237,-75.1635262,us,20502435,601.4
San Antonio,Texas,131.1,1451853,29.4246002,-98.4951405,us,21954288,732.5
San Diego,California,98.7,1381611,32.7174202,-117.1627728,us,23335899,831.3
Dallas,Texas,171.4,1288457,32.7762719,-96.7968559,us,24624356,1002.7
San Jose,California,95.8,983489,37.3361663,-121.890591,us,25607845,1098.4
Austin,Texas,62.7,964177,30.2711286,-97.7436995,us,26572022,1161.1
Jacksonville,Florida,85.1,954614,30.3321838,-81.655651,us,27526636,1246.2
Fort Worth,Texas,92.4,935508,32.753177,-97.3327459,us,28462144,1338.6
Columbus,Ohio,214.1,906528,39.9622601,-83.0007065,us,29368672,1552.7
Indianapolis,Indiana,349.9,882039,39.7683331,-86.1583502,us,30250711,1902.6
Charlotte,North Carolina,102.6,879709,35.2272086,-80.8430827,us,31130420,2005.2
San Francisco,California,60.6,815201,37.7790262,-122.419906,us,31945621,2065.8
Seattle,Washington,64.6,733919,47.6038321,-122.330062,us,32679540,2130.3
Denver,Colorado,185.2,711463,39.7392364,-104.984862,us,33391003,2315.5
Oklahoma City,Oklahoma,120.1,687725,35.4729886,-97.5170536,us,34078728,2435.7
Nashville,Tennessee,185.3,678851,36.1622767,-86.7742984,us,34757579,2620.9
El Paso,Texas,4.3,678415,31.7865623,-106.441207,us,35435994,2625.3
Washington,District of Columbia,34.4,670050,38.8950368,-77.0365427,us,36106044,2659.6
Boston,Massachusetts,88.1,654776,42.3554334,-71.060511,us,36760820,2747.7
Las Vegas,Nevada,115.7,646790,36.1672559,-115.148516,us,37407610,2863.4
Portland,Oregon,120.4,641162,45.5202471,-122.674194,us,38048772,2983.8
Detroit,Michigan,224.4,632464,42.3315509,-83.0466403,us,38681236,3208.2
Louisville,Kentucky,147.7,628594,38.2542376,-85.759407,us,39309830,3355.9
Memphis,Tennessee,75.5,628127,35.1460249,-90.0517638,us,39937957,3431.4
Baltimore,Maryland,124.9,576498,39.2908816,-76.610759,us,40514455,3556.2
Milwaukee,Wisconsin,183.5,569330,43.0349931,-87.922497,us,41083785,3739.8
Albuquerque,New Mexico,133.0,562599,35.084386,-106.650424,us,41646384,3872.8
Fresno,California,95.7,544510,36.7394421,-119.7848307,us,42190894,3968.5
Tucson,Arizona,190.4,543242,32.2228765,-110.9748477,us,42734136,4158.9
Sacramento,California,101.5,525041,38.5810606,-121.493895,us,43259177,4260.4
Mesa,Arizona,49.2,509475,33.4151005,-111.8314552,us,43768652,4309.6
Kansas City,Missouri,220.8,508394,39.100105,-94.5781416,us,44277046,4530.3
Atlanta,Georgia,113.4,496461,33.7489924,-84.3902644,us,44773507,4643.8
Omaha,Nebraska,146.8,487300,41.2587459,-95.9383758,us,45260807,4790.5
Colorado Springs,Colorado,90.8,483956,38.8339578,-104.825348,us,45744763,4881.3
Raleigh,North Carolina,151.5,469124,35.7803977,-78.6390989,us,46213887,5032.8
Virginia Beach,Virginia,65.9,457672,36.8529841,-75.9774183,us,46671559,5098.8
